Group Names,Entity Name,Capability Name,Template Name,Assessment Date,Assessment Number,Total Votes,Total Abstains,Rating,Dimension,Outcomes,Goal, Impediment,Notes,Criteria,Criteria Stage,Criteria Selections,Criteria Percent Selected
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Team Learning Culture & Retrospection @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Improve,"Time to Market; Employee Satisfaction; Innovation",N,N,"08/22/2022 Team Member: The DataGov team is recently fully staffed and working together. The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","Helpful Resources: Meetings & Agendas - See Retrospective","Starting",3,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Team Learning Culture & Retrospection @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Improve,"Time to Market; Employee Satisfaction; Innovation",N,N,"08/22/2022 Team Member: The DataGov team is recently fully staffed and working together. The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","Discussing failures occur within the team context but is reserved with managers or leadership.","Emerging",2,66.66
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Team Learning Culture & Retrospection @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Improve,"Time to Market; Employee Satisfaction; Innovation",N,N,"08/22/2022 Team Member: The DataGov team is recently fully staffed and working together. The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","Thanks to the team’s success, influence, and commitment to knowledge sharing, the team’s advanced learning, knowledge sharing, and cross-functional techniques have been adopted throughout the enterprise and is considered a best practice supported by leadership","Optimizing",1,33.33
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Team Learning Culture & Retrospection @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Improve,"Time to Market; Employee Satisfaction; Innovation",N,N,"08/22/2022 Team Member: The DataGov team is recently fully staffed and working together. The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","The team's throughput has increased as a result of team members learning new skills","Adapting",1,33.33
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Team Learning Culture & Retrospection @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Improve,"Time to Market; Employee Satisfaction; Innovation",N,N,"08/22/2022 Team Member: The DataGov team is recently fully staffed and working together. The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","Helpful Resource: Team & Program Agreements & Examples","Starting",3,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Team Learning Culture & Retrospection @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Improve,"Time to Market; Employee Satisfaction; Innovation",N,N,"08/22/2022 Team Member: The DataGov team is recently fully staffed and working together. The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","The team frequently collaborates with other teams to learn and share knowledge","Adapting",1,33.33
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Team Learning Culture & Retrospection @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Improve,"Time to Market; Employee Satisfaction; Innovation",N,N,"08/22/2022 Team Member: The DataGov team is recently fully staffed and working together. The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","Team members make time to learn new skills outside of their function","Emerging",2,66.66
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Team Learning Culture & Retrospection @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Improve,"Time to Market; Employee Satisfaction; Innovation",N,N,"08/22/2022 Team Member: The DataGov team is recently fully staffed and working together. The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","Teams learn and make changes based on their own experience and occasionally share beyond the team.","Emerging",1,33.33
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Team Learning Culture & Retrospection @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Improve,"Time to Market; Employee Satisfaction; Innovation",N,N,"08/22/2022 Team Member: The DataGov team is recently fully staffed and working together. The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","Discussing failures is not encouraged","Developing",1,33.33
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Team Learning Culture & Retrospection @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Improve,"Time to Market; Employee Satisfaction; Innovation",N,N,"08/22/2022 Team Member: The DataGov team is recently fully staffed and working together. The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","Teams learn and make changes based on their own experience but do not share beyond the team.","Developing",2,66.66
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Team Learning Culture & Retrospection @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Improve,"Time to Market; Employee Satisfaction; Innovation",N,N,"08/22/2022 Team Member: The DataGov team is recently fully staffed and working together. The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","Team members make time to enhance their skills within their current function","Developing",3,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Team Learning Culture & Retrospection @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Improve,"Time to Market; Employee Satisfaction; Innovation",N,N,"08/22/2022 Team Member: The DataGov team is recently fully staffed and working together. The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","The team experiments with new ways of working","Developing",2,66.66
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Team Learning Culture & Retrospection @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Improve,"Time to Market; Employee Satisfaction; Innovation",N,N,"08/22/2022 Team Member: The DataGov team is recently fully staffed and working together. The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","Failure is treated negatively","Starting",3,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Team Learning Culture & Retrospection @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Improve,"Time to Market; Employee Satisfaction; Innovation",N,N,"08/22/2022 Team Member: The DataGov team is recently fully staffed and working together. The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","No observable changes in team behaviour based on lessons learned from themselves or other teams in the org.","Starting",3,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Team Learning Culture & Retrospection @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Improve,"Time to Market; Employee Satisfaction; Innovation",N,N,"08/22/2022 Team Member: The DataGov team is recently fully staffed and working together. The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","The team hardly makes time to experiment with new ways of working, learn new skills, or share knowledge","Starting",3,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Team Sprint Planning  @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,2,1,0.000000,Adapt,"Time to Market; Reliability; Responsiveness; Predictability",N,N,"","Thanks to the team’s success, influence, and commitment to knowledge sharing, the team’s advanced Sprint Planning techniques have been adopted throughout the enterprise and is considered a best practice supported by leadership","Optimizing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Team Sprint Planning  @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,2,1,0.000000,Adapt,"Time to Market; Reliability; Responsiveness; Predictability",N,N,"","Occurs on cadence; at the beginning of every Sprint","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Team Sprint Planning  @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,2,1,0.000000,Adapt,"Time to Market; Reliability; Responsiveness; Predictability",N,N,"","The entire team participates","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Team Sprint Planning  @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,2,1,0.000000,Adapt,"Time to Market; Reliability; Responsiveness; Predictability",N,N,"","The team uses its Definition of Done, upcoming Sprint capacity, and past performance to gauge what they can commit to","Emerging",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Team Sprint Planning  @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,2,1,0.000000,Adapt,"Time to Market; Reliability; Responsiveness; Predictability",N,N,"","The team invites other organization members if their subject matter expertise is required","Emerging",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Team Sprint Planning  @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,2,1,0.000000,Adapt,"Time to Market; Reliability; Responsiveness; Predictability",N,N,"","The Product Owner identifies how the Product could increase its value in the upcoming Sprint and has the Product Backlog prepared","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Team Sprint Planning  @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,2,1,0.000000,Adapt,"Time to Market; Reliability; Responsiveness; Predictability",N,N,"","The team decomposes the PBIs (Product Backlog Items) for the Sprint into tasks that are a day or less","Adapting",2,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Team Sprint Planning  @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,2,1,0.000000,Adapt,"Time to Market; Reliability; Responsiveness; Predictability",N,N,"","No event exists in which the team collaborates on the work for the upcoming Sprint and formulates a plan to achieve it","Starting",2,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Team Sprint Planning  @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,2,1,0.000000,Adapt,"Time to Market; Reliability; Responsiveness; Predictability",N,N,"","Helpful Resources: Estimation & Planning","Starting",2,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Team Synergy @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,1.000000,Dynamics,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"","Work is done as a team by swarming to get things to ""done""","Optimizing",1,33.33
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Team Synergy @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,1.000000,Dynamics,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"","Team Members have a feel for one another's strengths and weaknesses and are not afraid to ask for help","Adapting",2,66.66
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Team Synergy @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,1.000000,Dynamics,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"","Team members do not hesitate to take on a task that is not relevant to their functional area","Emerging",1,33.33
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Team Synergy @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,1.000000,Dynamics,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"","The team listens to each other’s opinions and considers tradeoffs","Emerging",1,33.33
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Team Synergy @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,1.000000,Dynamics,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"","Team members are aware of one another's communication style and cater to it to ensure everyone's voice is heard","Emerging",2,66.66
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Team Synergy @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,1.000000,Dynamics,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"","The team has a collaborative workspace (on-site or remote) and utilizes collaboration tools for communication, sharing, and fun","Emerging",3,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Team Synergy @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,1.000000,Dynamics,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"","Team members know what each other are working on and use team sync events (Planning, Stand-Up, Backlog Refinement, etc.) to ensure open lines of communication, alignment of efforts, and management of dependencies","Developing",2,66.66
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Team Synergy @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,1.000000,Dynamics,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"","The team has a common language they use to describe their work","Developing",2,66.66
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Team Synergy @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,1.000000,Dynamics,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"","The team has an identity (i.e., name)","Developing",3,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Team Synergy @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,1.000000,Dynamics,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"","There is a lack of shared ownership, timely input, and direct interaction between team members; they work as individuals","Starting",3,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Team Synergy @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,1.000000,Dynamics,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"","Helpful Resource: Team & Program Agreements & Examples","Starting",3,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Technical Enablers @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Quality,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"08/22/2022 Team Member: The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","teaches and shares techniques with leadership on making technical enablers a first class citizen in team backlogs","Optimizing",1,33.33
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Technical Enablers @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Quality,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"08/22/2022 Team Member: The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","Architecture (UX, Front End, Back-end) is considered in Backlog Refinement activities","Emerging",2,66.66
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Technical Enablers @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Quality,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"08/22/2022 Team Member: The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","Helpful Resources: Reference Architecture Guidance","Starting",3,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Technical Enablers @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Quality,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"08/22/2022 Team Member: The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","Helpful Resources: NRF Non Functional Requirements Guidelines","Starting",3,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Technical Enablers @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Quality,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"08/22/2022 Team Member: The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","Encourages teams to be innovative with technology to solve customer problems","Adapting",2,66.66
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Technical Enablers @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Quality,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"08/22/2022 Team Member: The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","Finds opportunities to showcase technical work in Sprint Reviews","Emerging",1,33.33
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Technical Enablers @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Quality,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"08/22/2022 Team Member: The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","Understands and commits to quality; does not push back on the time allocated for quality practices such as pairing, CI/CD, test automation, etc.","Developing",1,33.33
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Technical Enablers @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Quality,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"08/22/2022 Team Member: The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","Reserves capacity for technical stories such as refactoring, technical debt pay down, UX, Security and architecture.","Emerging",2,66.66
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Technical Enablers @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Quality,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"08/22/2022 Team Member: The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","Articulates to stakeholders and customers the importance of technical enablers and the value they generate","Emerging",1,33.33
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Technical Enablers @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Quality,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"08/22/2022 Team Member: The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","Understands the nature of technical debt and it's ramifications; prioritizes it when the team feels strongly it needs to be resolved","Developing",1,33.33
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Technical Enablers @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Quality,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"08/22/2022 Team Member: The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","Adds technical stories when needed and relies on the team to educate on the need and flesh out the details","Developing",2,66.66
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Technical Enablers @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Quality,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"08/22/2022 Team Member: The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","Is aware of technical enabler work such as infrastructure upgrades, tool/ technical practice adoption","Developing",3,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Technical Enablers @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Quality,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"08/22/2022 Team Member: The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","Only focuses on business facing features and not the technology that enables them","Starting",3,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Technical Enablers @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Quality,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"08/22/2022 Team Member: The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","Allocates no time or team capacity for Technical Enablers","Starting",3,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Vision & Ideation @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Value Driven,"Customer Satisfaction; Employee Satisfaction; Innovation; Responsiveness",N,N,"08/22/2022 Team Member: The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","Thanks to our success, influence, and commitment to knowledge sharing, our advanced Visioning and Ideation techniques have been adopted throughout the enterprise and is considered a best practice supported by leadership","Optimizing",1,33.33
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Vision & Ideation @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Value Driven,"Customer Satisfaction; Employee Satisfaction; Innovation; Responsiveness",N,N,"08/22/2022 Team Member: The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","Planning Events such as Multi-Sprint Planning (i.e., Release Planning or Quarterly Planning or PI Planning), Backlog Refinement, and Iteration Planning consider the short, mid, and long-term goals of the product/project","Emerging",2,66.66
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Vision & Ideation @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Value Driven,"Customer Satisfaction; Employee Satisfaction; Innovation; Responsiveness",N,N,"08/22/2022 Team Member: The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","We create prototypes for any new idea and present them to real users to generate actionable feedback","Adapting",1,33.33
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Vision & Ideation @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Value Driven,"Customer Satisfaction; Employee Satisfaction; Innovation; Responsiveness",N,N,"08/22/2022 Team Member: The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","We use Design Thinking techniques (examples could be customer journeys and personas) to empathize with the customer and generate ideas","Emerging",1,33.33
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Vision & Ideation @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Value Driven,"Customer Satisfaction; Employee Satisfaction; Innovation; Responsiveness",N,N,"08/22/2022 Team Member: The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","We focus on achieving the product/project's goals and are empowered to negotiate and review the scope to achieve them","Emerging",3,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Vision & Ideation @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Value Driven,"Customer Satisfaction; Employee Satisfaction; Innovation; Responsiveness",N,N,"08/22/2022 Team Member: The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","We can articulate the connection point between their product/project and higher-level business strategy and objectives","Developing",2,66.66
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Vision & Ideation @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Value Driven,"Customer Satisfaction; Employee Satisfaction; Innovation; Responsiveness",N,N,"08/22/2022 Team Member: The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","We regularly dedicate time to Exploration and Design (i.e., customer feedback, spikes, etc.) to explore potential solutions and understand customer problems","Developing",1,33.33
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Vision & Ideation @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Value Driven,"Customer Satisfaction; Employee Satisfaction; Innovation; Responsiveness",N,N,"08/22/2022 Team Member: The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","Helpful Resources: Building a Product Roadmap","Starting",3,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Vision & Ideation @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Value Driven,"Customer Satisfaction; Employee Satisfaction; Innovation; Responsiveness",N,N,"08/22/2022 Team Member: The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","We are not fully clear on what success looks like and therefore struggle to generate ideas to achieve it","Starting",3,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Vision & Ideation @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Value Driven,"Customer Satisfaction; Employee Satisfaction; Innovation; Responsiveness",N,N,"08/22/2022 Team Member: The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","We have a compelling and inspirational vision for the product/project that creates a shared understanding of what we are trying to accomplish","Developing",3,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Avengers","Vision & Ideation @Unum","Agile Practices - Change Teams",9/23/2022 12:48 PM,5,3,0,0.666700,Value Driven,"Customer Satisfaction; Employee Satisfaction; Innovation; Responsiveness",N,N,"08/22/2022 Team Member: The DGO work is more applicable to Kanban, so Scrum criteria does not apply.","We are aware of the long and short-term success criteria of the product/project, including measures and value realization goals for transformational programs (Unum Enterprise Transformation Goals ETG)","Developing",2,66.66
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Maverick","Build Engineering @Unum","Digital GPA Engineering & DevOps Practices @Unum",6/12/2023 1:28 PM,1,1,0,1.000000,Engineering,"Time to Market; Reliability; Responsiveness; Predictability",N,N,"06/12/2023 Team Member: During build pipeline, junit is triggered.","No management of artifacts and reports","Starting",1,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Maverick","Build Engineering @Unum","Digital GPA Engineering & DevOps Practices @Unum",6/12/2023 1:28 PM,1,1,0,1.000000,Engineering,"Time to Market; Reliability; Responsiveness; Predictability",N,N,"06/12/2023 Team Member: During build pipeline, junit is triggered.","Manual processes for building software","Starting",1,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Data Maverick","Build Engineering @Unum","Digital GPA Engineering & DevOps Practices @Unum",6/12/2023 1:28 PM,1,1,0,1.000000,Engineering,"Time to Market; Reliability; Responsiveness; Predictability",N,N,"06/12/2023 Team Member: During build pipeline, junit is triggered.","Regular automated build and testing","Developing",1,100.00
